Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)",Analyte
Nickel Soluble Salts (7440-02-0),7440-02-0,1500,n,22000,n,390,n,,Nickel Soluble Salts
Nickel Subsulfide (12035-72-2),12035-72-2,41,c*,190,c*,4.5,c*,,Nickel Subsulfide
Nickelocene (1271-28-9),1271-28-9,670,n,8100,n,220,n,,Nickelocene
Nitrate (14797-55-8),14797-55-8,130000,nm,1900000,nm,32000,n,10000,Nitrate
Nitrate + Nitrite (as N) (E701177),E701177,        ,,        ,,        ,,10000,Nitrate + Nitrite (as N)
Nitrite (14797-65-0),14797-65-0,7800,n,120000,nm,2000,n,1000,Nitrite
"Nitroaniline, 2- (88-74-4)",88-74-4,630,n,8000,n,190,n,,"Nitroaniline, 2-"
"Nitroaniline, 4- (100-01-6)",100-01-6,250,n,3300,n,78,n,,"Nitroaniline, 4-"
Nitrobenzene (98-95-3),98-95-3,130,n,1300,n,13,n,,Nitrobenzene
Nitrocellulose (9004-70-0),9004-70-0,190000000,nm,2500000000,nm,60000000,n,,Nitrocellulose
Nitrofurantoin (67-20-9),67-20-9,4400,n,57000,n,1400,n,,Nitrofurantoin
Nitrofurazone (59-87-0),59-87-0,42,c,180,c,6,c,,Nitrofurazone
Nitroglycerin (55-63-0),55-63-0,6.3,n,82,n,2,n,,Nitroglycerin
Nitroguanidine (556-88-7),556-88-7,6300,n,82000,n,2000,n,,Nitroguanidine
Nitromethane (75-52-5),75-52-5,88,n,370,n,10,n,,Nitromethane
"Nitropropane, 2- (79-46-9)",79-46-9,1.4,c,6,c,0.21,c,,"Nitropropane, 2-"
"Nitropyrene, 4- (57835-92-4)",57835-92-4,42,c,180,c,1.9,c,,"Nitropyrene, 4-"
"Nitroso-di-N-butylamine, N- (924-16-3)",924-16-3,9.9,c,46,c,0.27,c,,"Nitroso-di-N-butylamine, N-"
"Nitroso-di-N-propylamine, N- (621-64-7)",621-64-7,7.8,c,33,c,1.1,c,,"Nitroso-di-N-propylamine, N-"
"Nitroso-N-ethylurea, N- (759-73-9)",759-73-9,0.45,c,8.5,c,0.092,c,,"Nitroso-N-ethylurea, N-"
"Nitroso-N-methylurea, N- (684-93-5)",684-93-5,0.1,c,1.9,c,0.021,c,,"Nitroso-N-methylurea, N-"
"Nitrosodiethanolamine, N- (1116-54-7)",1116-54-7,19,c,82,c,2.8,c,,"Nitrosodiethanolamine, N-"
"Nitrosodiethylamine, N- (55-18-5)",55-18-5,0.081,c,1.5,c,0.017,c,,"Nitrosodiethylamine, N-"
"Nitrosodimethylamine, N- (62-75-9)",62-75-9,0.2,c**,3.4,c**,0.011,c**,,"Nitrosodimethylamine, N-"
"Nitrosodiphenylamine, N- (86-30-6)",86-30-6,11000,c,47000,c,1200,c,,"Nitrosodiphenylamine, N-"
"Nitrosomethylethylamine, N- (10595-95-6)",10595-95-6,2,c,9.1,c,0.071,c,,"Nitrosomethylethylamine, N-"
Nitrosomorpholine [N-] (59-89-2),59-89-2,8.1,c,34,c,1.2,c,,Nitrosomorpholine [N-]
Nitrosopiperidine [N-] (100-75-4),100-75-4,5.8,c,24,c,0.82,c,,Nitrosopiperidine [N-]
"Nitrosopyrrolidine, N- (930-55-2)",930-55-2,26,c,110,c,3.7,c,,"Nitrosopyrrolidine, N-"
"Nitrotoluene, m- (99-08-1)",99-08-1,6.3,n,82,n,1.7,n,,"Nitrotoluene, m-"
"Nitrotoluene, o- (88-72-2)",88-72-2,70,n,1100,n,16,n,,"Nitrotoluene, o-"
"Nitrotoluene, p- (99-99-0)",99-99-0,250,n,3300,n,71,n,,"Nitrotoluene, p-"
"Nonane, n- (111-84-2)",111-84-2,11,ns,72,ns,5.3,n,,"Nonane, n-"
Norflurazon (27314-13-2),27314-13-2,950,n,12000,n,290,n,,Norflurazon
Octabromodiphenyl Ether (32536-52-0),32536-52-0,190,n,2500,n,60,n,,Octabromodiphenyl Ether
"Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX) (2691-41-0)",2691-41-0,3900,n,57000,n,1000,n,,"Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX)"
Octamethylpyrophosphoramide (152-16-9),152-16-9,130,n,1600,n,40,n,,Octamethylpyrophosphoramide
"Octyl Phthalate, di-N- (117-84-0)",117-84-0,630,n,8200,n,200,n,,"Octyl Phthalate, di-N-"
Oryzalin (19044-88-3),19044-88-3,7000,c**,29000,c**,790,c**,,Oryzalin
Oxadiazon (19666-30-9),19666-30-9,320,n,4100,n,47,n,,Oxadiazon
Oxamyl (23135-22-0),23135-22-0,1600,n,21000,n,500,n,200,Oxamyl
Oxyfluorfen (42874-03-3),42874-03-3,740,c**,3100,c**,54,c**,,Oxyfluorfen
Paclobutrazol (76738-62-0),76738-62-0,820,n,11000,n,230,n,,Paclobutrazol
Paraquat Dichloride (1910-42-5),1910-42-5,280,n,3700,n,90,n,,Paraquat Dichloride
Parathion (56-38-2),56-38-2,380,n,4900,n,86,n,,Parathion
Pebulate (1114-71-2),1114-71-2,3900,n,58000,n,560,n,,Pebulate
Pendimethalin (40487-42-1),40487-42-1,19000,n,250000,nm,1400,n,,Pendimethalin
Pentabromodiphenyl Ether (32534-81-9),32534-81-9,160,ns,2300,ns,40,n,,Pentabromodiphenyl Ether
"Pentabromodiphenyl ether, 2,2',4,4',5- (BDE-99) (60348-60-9)",60348-60-9,6.3,n,82,n,2,n,,"Pentabromodiphenyl ether, 2,2',4,4',5- (BDE-99)"
Pentachlorobenzene (608-93-5),608-93-5,63,n,930,n,3.2,n,,Pentachlorobenzene
"Pentachlorobiphenyl, 2,3,3',4,4'- (PCB 105) (32598-14-4)",32598-14-4,1.4,n,17,n,0.4,c**,,"Pentachlorobiphenyl, 2,3,3',4,4'- (PCB 105)"
"Pentachlorobiphenyl, 2,3,4,4',5- (PCB 114) (74472-37-0)",74472-37-0,1.4,n,17,n,0.4,c**,,"Pentachlorobiphenyl, 2,3,4,4',5- (PCB 114)"
"Pentachlorobiphenyl, 2,3',4,4',5- (PCB 118) (31508-00-6)",31508-00-6,1.4,n,17,n,0.4,c**,,"Pentachlorobiphenyl, 2,3',4,4',5- (PCB 118)"
"Pentachlorobiphenyl, 2',3,4,4',5- (PCB 123) (65510-44-3)",65510-44-3,1.4,n,17,n,0.4,c**,,"Pentachlorobiphenyl, 2',3,4,4',5- (PCB 123)"
"Pentachlorobiphenyl, 3,3',4,4',5- (PCB 126) (57465-28-8)",57465-28-8,0.00041,n,0.0051,n,0.00012,c**,,"Pentachlorobiphenyl, 3,3',4,4',5- (PCB 126)"
Pentachloroethane (76-01-7),76-01-7,770,cs,3600,cs,65,c,,Pentachloroethane
Pentachloronitrobenzene (82-68-8),82-68-8,230,n,1300,c**,12,c**,,Pentachloronitrobenzene
Pentachlorophenol (87-86-5),87-86-5,100,c**,400,c**,4.1,c**,1,Pentachlorophenol
Pentaerythritol tetranitrate (PETN) (78-11-5),78-11-5,130,n,1600,n,39,n,,Pentaerythritol tetranitrate (PETN)
"Pentane, n- (109-66-0)",109-66-0,810,ns,3400,ns,2100,n,,"Pentane, n-"
Perchlorate and Perchlorate Salts (14797-73-0),14797-73-0,55,n,820,n,14,n,1.5E+01(F),Perchlorate and Perchlorate Salts
Perfluorobutane sulfonic acid (PFBS) (375-73-5),375-73-5,1300,n,16000,n,400,n,,Perfluorobutane sulfonic acid (PFBS)
Perfluorobutanesulfonate (45187-15-3),45187-15-3,1300,n,16000,n,400,n,,Perfluorobutanesulfonate
Permethrin (52645-53-1),52645-53-1,3200,n,41000,n,1000,n,,Permethrin
Phenacetin (62-44-2),62-44-2,25000,c,100000,cm,3400,c,,Phenacetin
Phenmedipham (13684-63-4),13684-63-4,15000,n,200000,nm,3800,n,,Phenmedipham
Phenol (108-95-2),108-95-2,19000,n,250000,nm,5800,n,,Phenol
"Phenol, 2-(1-methylethoxy)-, methylcarbamate (114-26-1)",114-26-1,250,n,3300,n,78,n,,"Phenol, 2-(1-methylethoxy)-, methylcarbamate"
Phenothiazine (92-84-2),92-84-2,32,n,410,n,4.3,n,,Phenothiazine
Phenyl Isothiocyanate (103-72-0),103-72-0,16,n,230,ns,2.6,n,,Phenyl Isothiocyanate
"Phenylenediamine, m- (108-45-2)",108-45-2,380,n,4900,n,120,n,,"Phenylenediamine, m-"
"Phenylenediamine, o- (95-54-5)",95-54-5,250,n,1900,c**,65,c**,,"Phenylenediamine, o-"
"Phenylenediamine, p- (106-50-3)",106-50-3,63,n,820,n,20,n,,"Phenylenediamine, p-"
Phenylmercuric Acetate (62-38-4),62-38-4,5.1,n,66,n,1.6,n,,Phenylmercuric Acetate
"Phenylphenol, 2- (90-43-7)",90-43-7,28000,c,120000,cm,3000,c,,"Phenylphenol, 2-"
Phorate (298-02-2),298-02-2,13,n,160,n,3,n,,Phorate
Phosgene (75-44-5),75-44-5,0.31,n,1.3,n,        ,,,Phosgene
Phosmet (732-11-6),732-11-6,1300,n,16000,n,370,n,,Phosmet
Phosphine (7803-51-2),7803-51-2,23,n,350,n,0.57,n,,Phosphine
Phosphoric Acid (7664-38-2),7664-38-2,3000000,nm,29000000,nm,970000,n,,Phosphoric Acid
"Phosphorus, White (7723-14-0)",7723-14-0,1.6,n,23,n,0.4,n,,"Phosphorus, White"
"Phthalic Acid, P- (100-21-0)",100-21-0,63000,n,820000,nm,19000,n,,"Phthalic Acid, P-"
Phthalic Anhydride (85-44-9),85-44-9,130000,nm,1600000,nm,39000,n,,Phthalic Anhydride
Picloram (1918-02-1),1918-02-1,4400,n,57000,n,1400,n,500,Picloram
"Picramic Acid (2-Amino-4,6-dinitrophenol) (96-91-3)",96-91-3,6.3,n,82,n,2,n,,"Picramic Acid (2-Amino-4,6-dinitrophenol)"
"Picric Acid (2,4,6-Trinitrophenol) (88-89-1)",88-89-1,57,n,740,n,18,n,,"Picric Acid (2,4,6-Trinitrophenol)"
"Pirimiphos, Methyl (29232-93-7)",29232-93-7,4.4,n,57,n,0.85,n,,"Pirimiphos, Methyl"
Polybrominated Biphenyls (59536-65-1),59536-65-1,0.44,n,5.7,n,0.14,n,,Polybrominated Biphenyls
Polychlorinated Biphenyls (high risk) (1336-36-3),1336-36-3,23,c,94,c,        ,,0.5,Polychlorinated Biphenyls (high risk)
Polychlorinated Biphenyls (low risk) (1336-36-3),1336-36-3,        ,,        ,,4.4,c,0.5,Polychlorinated Biphenyls (low risk)
Polychlorinated Biphenyls (lowest risk) (1336-36-3),1336-36-3,        ,,        ,,        ,,0.5,Polychlorinated Biphenyls (lowest risk)
Polymeric Methylene Diphenyl Diisocyanate (PMDI) (9016-87-9),9016-87-9,850000,nm,3600000,nm,        ,,,Polymeric Methylene Diphenyl Diisocyanate (PMDI)
Polyphosphoric acid (8017-16-1),8017-16-1,3800000,nm,57000000,nm,970000,n,,Polyphosphoric acid
Potassium Cyanide (151-50-8),151-50-8,160,n,2300,n,40,n,,Potassium Cyanide
Potassium Perchlorate (7778-74-7),7778-74-7,55,n,820,n,14,n,,Potassium Perchlorate
Potassium Perfluorobutane Sulfonate (29420-49-3),29420-49-3,1300,n,16000,n,400,n,,Potassium Perfluorobutane Sulfonate
Potassium Silver Cyanide (506-61-6),506-61-6,390,n,5800,n,82,n,,Potassium Silver Cyanide
Potassium tripolyphosphate (13845-36-8),13845-36-8,3800000,nm,57000000,nm,970000,n,,Potassium tripolyphosphate
Prochloraz (67747-09-5),67747-09-5,360,c**,1500,c**,38,c**,,Prochloraz
Profluralin (26399-36-0),26399-36-0,470,n,7000,n,26,n,,Profluralin
Prometon (1610-18-0),1610-18-0,950,n,12000,n,250,n,,Prometon
Prometryn (7287-19-6),7287-19-6,2500,n,33000,n,600,n,,Prometryn
Propachlor (1918-16-7),1918-16-7,820,n,11000,n,250,n,,Propachlor
Propanil (709-98-8),709-98-8,320,n,4100,n,82,n,,Propanil
Propargite (2312-35-8),2312-35-8,280,c**,1200,c*,16,c*,,Propargite
Propargyl Alcohol (107-19-7),107-19-7,160,n,2300,n,40,n,,Propargyl Alcohol
Propazine (139-40-2),139-40-2,1300,n,16000,n,340,n,,Propazine
Propham (122-42-9),122-42-9,1300,n,16000,n,350,n,,Propham
Propiconazole (60207-90-1),60207-90-1,6300,n,82000,n,1600,n,,Propiconazole
Propionaldehyde (123-38-6),123-38-6,75,n,310,n,17,n,,Propionaldehyde
Propyl benzene (103-65-1),103-65-1,3800,ns,24000,ns,660,n,,Propyl benzene
Propylene (115-07-1),115-07-1,2200,ns,9300,ns,6300,n,,Propylene
Propylene Glycol (57-55-6),57-55-6,1300000,nm,16000000,nm,400000,n,,Propylene Glycol
Propylene Glycol Dinitrate (6423-43-4),6423-43-4,390000,nm,1600000,nm,        ,,,Propylene Glycol Dinitrate
Propylene Glycol Monomethyl Ether (107-98-2),107-98-2,41000,n,370000,nms,3200,n,,Propylene Glycol Monomethyl Ether
Propylene Oxide (75-56-9),75-56-9,210,c**,970,c**,27,c**,,Propylene Oxide
Propyzamide (23950-58-5),23950-58-5,4700,n,62000,n,1200,n,,Propyzamide
Pyrene (129-00-0),129-00-0,1800,n,23000,n,120,n,,Pyrene
Pyridine (110-86-1),110-86-1,78,n,1200,n,20,n,,Pyridine
Quinalphos (13593-03-8),13593-03-8,32,n,410,n,5.1,n,,Quinalphos
Quinoline (91-22-5),91-22-5,18,c,77,c,2.4,c,,Quinoline
Quizalofop-ethyl (76578-14-8),76578-14-8,570,n,7400,n,120,n,,Quizalofop-ethyl
Refractory Ceramic Fibers (E715557),E715557,43000000,nm,180000000,nm,        ,,,Refractory Ceramic Fibers
Resmethrin (10453-86-8),10453-86-8,1900,n,25000,n,67,n,,Resmethrin
Ronnel (299-84-3),299-84-3,3900,n,58000,n,410,n,,Ronnel
Rotenone (83-79-4),83-79-4,250,n,3300,n,61,n,,Rotenone
Safrole (94-59-7),94-59-7,55,c,1000,c,9.6,c,,Safrole
Selenious Acid (7783-00-8),7783-00-8,390,n,5800,n,100,n,,Selenious Acid
Selenium (7782-49-2),7782-49-2,390,n,5800,n,100,n,50,Selenium
Selenium Sulfide (7446-34-6),7446-34-6,390,n,5800,n,100,n,,Selenium Sulfide
Sethoxydim (74051-80-2),74051-80-2,8800,n,110000,nm,1600,n,,Sethoxydim
"Silica (crystalline, respirable) (7631-86-9)",7631-86-9,4300000,nm,18000000,nm,        ,,,"Silica (crystalline, respirable)"
Silver (7440-22-4),7440-22-4,390,n,5800,n,94,n,,Silver
Silver Cyanide (506-64-9),506-64-9,7800,n,120000,nm,1800,n,,Silver Cyanide
Simazine (122-34-9),122-34-9,320,n,1900,c**,61,c**,4,Simazine
Sodium acid pyrophosphate (7758-16-9),7758-16-9,3800000,nm,57000000,nm,970000,n,,Sodium acid pyrophosphate
Sodium Acifluorfen (62476-59-9),62476-59-9,820,n,11000,n,260,n,,Sodium Acifluorfen
Sodium aluminum phosphate (acidic) (7785-88-8),7785-88-8,3800000,nm,57000000,nm,970000,n,,Sodium aluminum phosphate (acidic)
Sodium aluminum phosphate (anhydrous) (10279-59-1),10279-59-1,3800000,nm,57000000,nm,970000,n,,Sodium aluminum phosphate (anhydrous)
Sodium aluminum phosphate (tetrahydrate) (10305-76-7),10305-76-7,3800000,nm,57000000,nm,970000,n,,Sodium aluminum phosphate (tetrahydrate)
Sodium Azide (26628-22-8),26628-22-8,310,n,4700,n,80,n,,Sodium Azide
Sodium Cyanide (143-33-9),143-33-9,78,n,1200,n,20,n,200,Sodium Cyanide
Sodium Diethyldithiocarbamate (148-18-5),148-18-5,200,c**,850,c*,29,c*,,Sodium Diethyldithiocarbamate
Sodium Fluoride (7681-49-4),7681-49-4,3900,n,58000,n,1000,n,4000,Sodium Fluoride
Sodium Fluoroacetate (62-74-8),62-74-8,1.3,n,16,n,0.4,n,,Sodium Fluoroacetate
Sodium hexametaphosphate (10124-56-8),10124-56-8,3800000,nm,57000000,nm,970000,n,,Sodium hexametaphosphate
Sodium Metavanadate (13718-26-8),13718-26-8,78,n,1200,n,20,n,,Sodium Metavanadate
Sodium Perchlorate (7601-89-0),7601-89-0,55,n,820,n,14,n,,Sodium Perchlorate
Sodium polyphosphate (68915-31-1),68915-31-1,3800000,nm,57000000,nm,970000,n,,Sodium polyphosphate
Sodium trimetaphosphate (7785-84-4),7785-84-4,3800000,nm,57000000,nm,970000,n,,Sodium trimetaphosphate
Sodium tripolyphosphate (7758-29-4),7758-29-4,3800000,nm,57000000,nm,970000,n,,Sodium tripolyphosphate
Sodium Tungstate (13472-45-2),13472-45-2,63,n,930,n,16,n,,Sodium Tungstate
Sodium Tungstate Dihydrate (10213-10-2),10213-10-2,63,n,930,n,16,n,,Sodium Tungstate Dihydrate
Stirofos (Tetrachlorovinphos) (961-11-5),961-11-5,1900,n,9600,c**,280,c**,,Stirofos (Tetrachlorovinphos)
"Strontium, Stable (7440-24-6)",7440-24-6,47000,n,700000,nm,12000,n,,"Strontium, Stable"
Strychnine (57-24-9),57-24-9,19,n,250,n,5.9,n,,Strychnine
Styrene (100-42-5),100-42-5,6000,ns,35000,ns,1200,n,100,Styrene
Styrene-Acrylonitrile (SAN) Trimer (),,190,n,2500,n,48,n,,Styrene-Acrylonitrile (SAN) Trimer
Sulfolane (126-33-0),126-33-0,63,n,820,n,20,n,,Sulfolane
"Sulfonylbis(4-chlorobenzene), 1,1'- (80-07-9)",80-07-9,51,n,660,n,11,n,,"Sulfonylbis(4-chlorobenzene), 1,1'-"
Sulfur Trioxide (7446-11-9),7446-11-9,1400000,nm,6000000,nm,2.1,n,,Sulfur Trioxide
Sulfuric Acid (7664-93-9),7664-93-9,1400000,nm,6000000,nm,        ,,,Sulfuric Acid
"Sulfurous acid, 2-chloroethyl 2-[4-(1,1-dimethylethyl)phenoxy]-1-methylethyl ester (140-57-8)",140-57-8,2200,c**,9200,c**,130,c**,,"Sulfurous acid, 2-chloroethyl 2-[4-(1,1-dimethylethyl)phenoxy]-1-methylethyl ester"
"TCDD, 2,3,7,8- (1746-01-6)",1746-01-6,5.1E-05,n,0.00072,n,1.2E-05,c**,3E-05,"TCDD, 2,3,7,8-"
TCMTB (21564-17-0),21564-17-0,1900,n,25000,n,480,n,,TCMTB
Tebuthiuron (34014-18-1),34014-18-1,4400,n,57000,n,1400,n,,Tebuthiuron
Temephos (3383-96-8),3383-96-8,1300,n,16000,n,400,n,,Temephos
Terbacil (5902-51-2),5902-51-2,820,n,11000,n,250,n,,Terbacil
Terbufos (13071-79-9),13071-79-9,2,n,29,n,0.24,n,,Terbufos
Terbutryn (886-50-0),886-50-0,63,n,820,n,13,n,,Terbutryn
"Tetrabromodiphenyl ether, 2,2',4,4'- (BDE-47) (5436-43-1)",5436-43-1,6.3,n,82,n,2,n,,"Tetrabromodiphenyl ether, 2,2',4,4'- (BDE-47)"
"Tetrachlorobenzene, 1,2,4,5- (95-94-3)",95-94-3,23,n,350,n,1.7,n,,"Tetrachlorobenzene, 1,2,4,5-"
"Tetrachlorobiphenyl, 3,3',4,4'- (PCB 77) (32598-13-3)",32598-13-3,0.41,n,5.1,n,0.14,n,,"Tetrachlorobiphenyl, 3,3',4,4'- (PCB 77)"
"Tetrachlorobiphenyl, 3,4,4',5- (PCB 81) (70362-50-4)",70362-50-4,0.14,n,1.7,n,0.04,c**,,"Tetrachlorobiphenyl, 3,4,4',5- (PCB 81)"
"Tetrachloroethane, 1,1,1,2- (630-20-6)",630-20-6,200,c*,880,c*s,57,c**,,"Tetrachloroethane, 1,1,1,2-"
"Tetrachloroethane, 1,1,2,2- (79-34-5)",79-34-5,60,c*,270,c*,7.6,c*,,"Tetrachloroethane, 1,1,2,2-"
Tetrachloroethylene (127-18-4),127-18-4,81,n,390,ns,41,n,5,Tetrachloroethylene
"Tetrachlorophenol, 2,3,4,6- (58-90-2)",58-90-2,1900,n,25000,n,240,n,,"Tetrachlorophenol, 2,3,4,6-"
"Tetrachlorotoluene, p- alpha, alpha, alpha- (5216-25-1)",5216-25-1,3.5,c,16,c,0.13,c,,"Tetrachlorotoluene, p- alpha, alpha, alpha-"
Tetraethyl Dithiopyrophosphate (3689-24-5),3689-24-5,32,n,410,n,7.1,n,,Tetraethyl Dithiopyrophosphate
Tetraethyl Lead (78-00-2),78-00-2,0.0078,n,0.12,n,0.0013,n,,Tetraethyl Lead
"Tetrafluoroethane, 1,1,1,2- (811-97-2)",811-97-2,100000,nms,430000,nms,170000,n,,"Tetrafluoroethane, 1,1,1,2-"
Tetrahydrofuran (109-99-9),109-99-9,18000,n,94000,n,3400,n,,Tetrahydrofuran
Tetrapotassium phosphate (7320-34-5),7320-34-5,3800000,nm,57000000,nm,970000,n,,Tetrapotassium phosphate
Tetrasodium pyrophosphate (7722-88-5),7722-88-5,3800000,nm,57000000,nm,970000,n,,Tetrasodium pyrophosphate
Tetryl (Trinitrophenylmethylnitramine) (479-45-8),479-45-8,160,n,2300,n,39,n,,Tetryl (Trinitrophenylmethylnitramine)
Thallic Oxide (1314-32-5),1314-32-5,1.6,n,23,n,0.4,n,,Thallic Oxide
Thallium (I) Nitrate (10102-45-1),10102-45-1,0.78,n,12,n,0.2,n,,Thallium (I) Nitrate
Thallium (Soluble Salts) (7440-28-0),7440-28-0,0.78,n,12,n,0.2,n,2,Thallium (Soluble Salts)
Thallium Acetate (563-68-8),563-68-8,0.78,n,12,n,0.2,n,,Thallium Acetate
Thallium Carbonate (6533-73-9),6533-73-9,1.6,n,23,n,0.4,n,,Thallium Carbonate
Thallium Chloride (7791-12-0),7791-12-0,0.78,n,12,n,0.2,n,,Thallium Chloride
Thallium Selenite (12039-52-0),12039-52-0,0.78,n,12,n,0.2,n,,Thallium Selenite
Thallium Sulfate (7446-18-6),7446-18-6,1.6,n,23,n,0.4,n,,Thallium Sulfate
Thifensulfuron-methyl (79277-27-3),79277-27-3,2700,n,35000,n,860,n,,Thifensulfuron-methyl
Thiobencarb (28249-77-6),28249-77-6,630,n,8200,n,160,n,,Thiobencarb
Thiocyanates (E1790664),E1790664,16,n,230,n,4,n,,Thiocyanates
Thiocyanic Acid (463-56-9),463-56-9,16,n,230,n,4,n,,Thiocyanic Acid
Thiodiglycol (111-48-8),111-48-8,5400,n,79000,n,1400,n,,Thiodiglycol
Thiofanox (39196-18-4),39196-18-4,19,n,250,n,5.3,n,,Thiofanox
"Thiophanate, Methyl (23564-05-8)",23564-05-8,1700,n,20000,c**,530,n,,"Thiophanate, Methyl"
Thiram (137-26-8),137-26-8,950,n,12000,n,290,n,,Thiram
Tin (7440-31-5),7440-31-5,47000,n,700000,nm,12000,n,,Tin
Titanium Tetrachloride (7550-45-0),7550-45-0,140000,nm,600000,nm,0.21,n,,Titanium Tetrachloride
Toluene (108-88-3),108-88-3,4900,ns,47000,ns,1100,n,1000,Toluene
"Toluene-2,4-diisocyanate (584-84-9)",584-84-9,6.4,n,27,n,0.017,n,,"Toluene-2,4-diisocyanate"
"Toluene-2,5-diamine (95-70-5)",95-70-5,13,n,160,n,4,n,,"Toluene-2,5-diamine"
"Toluene-2,6-diisocyanate (91-08-7)",91-08-7,5.3,n,22,n,0.017,n,,"Toluene-2,6-diisocyanate"
"Toluic Acid, p- (99-94-5)",99-94-5,320,n,4100,n,90,n,,"Toluic Acid, p-"
"Toluidine, o- (Methylaniline, 2-) (95-53-4)",95-53-4,3400,c,14000,c,470,c,,"Toluidine, o- (Methylaniline, 2-)"
"Toluidine, p- (106-49-0)",106-49-0,250,n,3300,n,77,n,,"Toluidine, p-"
Total Petroleum Hydrocarbons (Aliphatic High) (E1790670),E1790670,230000,nms,3500000,nms,60000,n,,Total Petroleum Hydrocarbons (Aliphatic High)
Total Petroleum Hydrocarbons (Aliphatic Low) (E1790666),E1790666,520,ns,2200,ns,1300,n,,Total Petroleum Hydrocarbons (Aliphatic Low)
Total Petroleum Hydrocarbons (Aliphatic Medium) (E1790668),E1790668,96,ns,440,ns,100,n,,Total Petroleum Hydrocarbons (Aliphatic Medium)
Total Petroleum Hydrocarbons (Aromatic High) (E1790676),E1790676,2500,n,33000,n,800,n,,Total Petroleum Hydrocarbons (Aromatic High)
Total Petroleum Hydrocarbons (Aromatic Low) (E1790672),E1790672,82,n,420,n,33,n,,Total Petroleum Hydrocarbons (Aromatic Low)
Total Petroleum Hydrocarbons (Aromatic Medium) (E1790674),E1790674,110,n,600,n,5.5,n,,Total Petroleum Hydrocarbons (Aromatic Medium)
Toxaphene (8001-35-2),8001-35-2,49,c,210,c,7.1,c,3,Toxaphene
Tralomethrin (66841-25-6),66841-25-6,470,n,6200,n,150,n,,Tralomethrin
Tri-n-butyltin (688-73-3),688-73-3,23,n,350,n,3.7,n,,Tri-n-butyltin
Triacetin (102-76-1),102-76-1,5100000,nm,66000000,nm,1600000,n,,Triacetin
Triadimefon (43121-43-3),43121-43-3,2100,n,28000,n,630,n,,Triadimefon
Triallate (2303-17-5),2303-17-5,970,c**,4600,c**,47,c**,,Triallate
Trialuminum sodium tetra decahydrogenoctaorthophosphate (dihydrate) (15136-87-5),15136-87-5,3800000,nm,57000000,nm,970000,n,,Trialuminum sodium tetra decahydrogenoctaorthophosphate (dihydrate)
Triasulfuron (82097-50-5),82097-50-5,630,n,8200,n,200,n,,Triasulfuron
Tribenuron-methyl (101200-48-0),101200-48-0,510,n,6600,n,160,n,,Tribenuron-methyl
"Tribromobenzene, 1,2,4- (615-54-3)",615-54-3,390,n,5800,n,45,n,,"Tribromobenzene, 1,2,4-"
"Tribromophenol, 2,4,6- (118-79-6)",118-79-6,570,n,7400,n,120,n,,"Tribromophenol, 2,4,6-"
Tributyl Phosphate (126-73-8),126-73-8,630,n,8200,n,120,n,,Tributyl Phosphate
Tributyltin Compounds (E1790678),E1790678,19,n,250,n,6,n,,Tributyltin Compounds
Tributyltin Oxide (56-35-9),56-35-9,19,n,250,n,5.7,n,,Tributyltin Oxide
Tricalcium phosphate (7758-87-4),7758-87-4,3800000,nm,57000000,nm,970000,n,,Tricalcium phosphate
"Trichloro-1,2,2-trifluoroethane, 1,1,2- (76-13-1)",76-13-1,6700,ns,28000,ns,10000,n,,"Trichloro-1,2,2-trifluoroethane, 1,1,2-"
Trichloroacetic Acid (76-03-9),76-03-9,780,c**,3300,c**,110,c**,60,Trichloroacetic Acid
"Trichloroaniline HCl, 2,4,6- (33663-50-2)",33663-50-2,1900,c,7900,c,270,c,,"Trichloroaniline HCl, 2,4,6-"
"Trichloroaniline, 2,4,6- (634-93-5)",634-93-5,1.9,n,25,n,0.4,n,,"Trichloroaniline, 2,4,6-"
"Trichlorobenzene, 1,2,3- (87-61-6)",87-61-6,63,n,930,n,7,n,,"Trichlorobenzene, 1,2,3-"
"Trichlorobenzene, 1,2,4- (120-82-1)",120-82-1,58,n,260,n,4,n,70,"Trichlorobenzene, 1,2,4-"
"Trichloroethane, 1,1,1- (71-55-6)",71-55-6,8100,ns,36000,ns,8000,n,200,"Trichloroethane, 1,1,1-"
"Trichloroethane, 1,1,2- (79-00-5)",79-00-5,1.5,n,6.3,n,0.41,n,5,"Trichloroethane, 1,1,2-"
Trichloroethylene (79-01-6),79-01-6,4.1,n,19,n,2.8,n,5,Trichloroethylene
Trichlorofluoromethane (75-69-4),75-69-4,23000,ns,350000,nms,5200,n,,Trichlorofluoromethane
"Trichlorophenol, 2,4,5- (95-95-4)",95-95-4,6300,n,82000,n,1200,n,,"Trichlorophenol, 2,4,5-"
"Trichlorophenol, 2,4,6- (88-06-2)",88-06-2,63,n,820,n,12,n,,"Trichlorophenol, 2,4,6-"
"Trichlorophenoxyacetic Acid, 2,4,5- (93-76-5)",93-76-5,630,n,8200,n,160,n,,"Trichlorophenoxyacetic Acid, 2,4,5-"
