Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)"
Nitroglycerin,55-63-0,1.9E+01,n,2.5E+02,n,5.9E+00,n,
Nitroguanidine,556-88-7,1.9E+04,n,2.5E+05,nm,6.0E+03,n,
Nitromethane,75-52-5,2.6E+02,n,1.1E+03,n,3.1E+01,n,
"Nitropropane, 2-",79-46-9,1.4E+00,c,6.0E+00,c,2.1E-01,c,
"Nitrosodiethanolamine, N-",1116-54-7,1.9E+01,c,8.2E+01,c,2.8E+00,c,
"Nitrosodiethylamine, N-",55-18-5,8.1E-02,c,1.5E+00,c,1.7E-02,c,
"Nitrosodimethylamine, N-",62-75-9,2.0E-01,c**,3.4E+00,c**,1.1E-02,c*,
"Nitroso-di-N-butylamine, N-",924-16-3,9.9E+00,c,4.6E+01,c,2.7E-01,c,
"Nitroso-di-N-propylamine, N-",621-64-7,7.8E+00,c,3.3E+01,c,1.1E+00,c,
"Nitrosodiphenylamine, N-",86-30-6,1.1E+04,c,4.7E+04,c,1.2E+03,c,
"Nitrosomethylethylamine, N-",10595-95-6,2.0E+00,c,9.1E+00,c,7.1E-02,c,
Nitrosomorpholine [N-],59-89-2,8.1E+00,c,3.4E+01,c,1.2E+00,c,
"Nitroso-N-ethylurea, N-",759-73-9,4.5E-01,c,8.5E+00,c,9.2E-02,c,
"Nitroso-N-methylurea, N-",684-93-5,1.0E-01,c,1.9E+00,c,2.1E-02,c,
Nitrosopiperidine [N-],100-75-4,5.8E+00,c,2.4E+01,c,8.2E-01,c,
"Nitrosopyrrolidine, N-",930-55-2,2.6E+01,c,1.1E+02,c,3.7E+00,c,
"Nitrotoluene, m-",99-08-1,1.9E+01,n,2.5E+02,n,5.2E+00,n,
"Nitrotoluene, o-",88-72-2,2.1E+02,n,1.5E+03,c**,3.1E+01,c**,
"Nitrotoluene, p-",99-99-0,7.6E+02,n,9.8E+03,n,2.1E+02,n,
"Nonane, n-",111-84-2,3.4E+01,ns,2.2E+02,ns,1.6E+01,n,
Norflurazon,27314-13-2,2.8E+03,n,3.7E+04,n,8.7E+02,n,
Octabromodiphenyl Ether,32536-52-0,5.7E+02,n,7.4E+03,n,1.8E+02,n,
"Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX)",2691-41-0,1.2E+04,n,1.7E+05,nm,3.0E+03,n,
Octamethylpyrophosphoramide,152-16-9,3.8E+02,n,4.9E+03,n,1.2E+02,n,
Oryzalin,19044-88-3,7.0E+03,c**,2.9E+04,c*,7.9E+02,c**,
Oxadiazon,19666-30-9,9.5E+02,n,1.2E+04,n,1.4E+02,n,
Oxamyl,23135-22-0,4.7E+03,n,6.2E+04,n,1.5E+03,n,2.0E+02
Oxyfluorfen,42874-03-3,7.4E+02,c**,3.1E+03,c*,5.4E+01,c*,
Paclobutrazol,76738-62-0,2.5E+03,n,3.2E+04,n,6.8E+02,n,
Paraquat Dichloride,1910-42-5,8.5E+02,n,1.1E+04,n,2.7E+02,n,
Parathion,56-38-2,1.1E+03,n,1.5E+04,n,2.6E+02,n,
Pebulate,1114-71-2,1.2E+04,n,1.8E+05,nm,1.7E+03,n,
Pendimethalin,40487-42-1,5.7E+04,n,7.4E+05,nm,4.1E+03,n,
Pentabromodiphenyl Ether,32534-81-9,4.7E+02,ns,7.0E+03,ns,1.2E+02,n,
"Pentabromodiphenyl ether, 2,2',4,4',5- (BDE-99)",60348-60-9,1.9E+01,n,2.5E+02,n,6.0E+00,n,
Pentachlorobenzene,608-93-5,1.9E+02,n,2.8E+03,n,9.5E+00,n,
Pentachloroethane,76-01-7,7.7E+02,cs,3.6E+03,cs,6.5E+01,c,
Pentachloronitrobenzene,82-68-8,2.7E+02,c**,1.3E+03,c**,1.2E+01,c**,
Pentachlorophenol,87-86-5,1.0E+02,c**,4.0E+02,c*,4.1E+00,c*,1.0E+00
Pentaerythritol tetranitrate (PETN),78-11-5,3.8E+02,n,4.9E+03,n,1.2E+02,n,
"Pentane, n-",109-66-0,2.4E+03,ns,1.0E+04,ns,6.3E+03,n,
Perfluorobutane sulfonic acid (PFBS),375-73-5,3.8E+03,n,4.9E+04,n,1.2E+03,n,
Perfluorobutanesulfonate,45187-15-3,3.8E+03,n,4.9E+04,n,1.2E+03,n,
Permethrin,52645-53-1,9.5E+03,n,1.2E+05,nm,3.0E+03,n,
Phenacetin,62-44-2,2.5E+04,c,1.0E+05,cm,3.4E+03,c,
Phenmedipham,13684-63-4,4.6E+04,n,5.9E+05,nm,1.1E+04,n,
Phenol,108-95-2,5.7E+04,n,7.4E+05,nm,1.7E+04,n,
"Phenol, 2-(1-methylethoxy)-, methylcarbamate",114-26-1,7.6E+02,n,9.8E+03,n,2.4E+02,n,
Phenothiazine,92-84-2,9.5E+01,n,1.2E+03,n,1.3E+01,n,
Phenyl Isothiocyanate,103-72-0,4.7E+01,n,7.0E+02,ns,7.9E+00,n,
"Phenylenediamine, m-",108-45-2,1.1E+03,n,1.5E+04,n,3.6E+02,n,
"Phenylenediamine, o-",95-54-5,4.5E+02,c**,1.9E+03,c**,6.5E+01,c**,
"Phenylenediamine, p-",106-50-3,1.9E+02,n,2.5E+03,n,6.0E+01,n,
"Phenylphenol, 2-",90-43-7,2.8E+04,c,1.2E+05,cm,3.0E+03,c,
Phorate,298-02-2,3.8E+01,n,4.9E+02,n,9.1E+00,n,
Phosgene,75-44-5,9.2E-01,n,3.9E+00,n,        ,,
Phosmet,732-11-6,3.8E+03,n,4.9E+04,n,1.1E+03,n,
Phosphine,7803-51-2,7.0E+01,n,1.1E+03,n,1.7E+00,n,
Phosphoric Acid,7664-38-2,9.0E+06,nm,8.7E+07,nm,2.9E+06,n,
"Phosphorus, White",7723-14-0,4.7E+00,n,7.0E+01,n,1.2E+00,n,
Picloram,1918-02-1,1.3E+04,n,1.7E+05,nm,4.1E+03,n,5.0E+02
"Picramic Acid (2-Amino-4,6-dinitrophenol)",96-91-3,1.9E+01,n,2.5E+02,n,6.0E+00,n,
"Picric Acid (2,4,6-Trinitrophenol)",88-89-1,1.7E+02,n,2.2E+03,n,5.3E+01,n,
"Pirimiphos, Methyl",29232-93-7,1.3E+01,n,1.7E+02,n,2.6E+00,n,
Polybrominated Biphenyls,59536-65-1,1.3E+00,n,7.7E+00,c**,2.6E-01,c**,
Polymeric Methylene Diphenyl Diisocyanate (PMDI),9016-87-9,2.6E+06,nm,1.1E+07,nm,        ,,
Potassium Perfluorobutane Sulfonate,29420-49-3,3.8E+03,n,4.9E+04,n,1.2E+03,n,
Prochloraz,67747-09-5,3.6E+02,c**,1.5E+03,c*,3.8E+01,c*,
Profluralin,26399-36-0,1.4E+03,n,2.1E+04,n,7.8E+01,n,
Prometon,1610-18-0,2.8E+03,n,3.7E+04,n,7.6E+02,n,
Prometryn,7287-19-6,7.6E+03,n,9.8E+04,n,1.8E+03,n,
Propachlor,1918-16-7,2.5E+03,n,3.2E+04,n,7.4E+02,n,
Propanil,709-98-8,9.5E+02,n,1.2E+04,n,2.5E+02,n,
Propargite,2312-35-8,2.8E+02,c*,1.2E+03,c*,1.6E+01,c*,
Propargyl Alcohol,107-19-7,4.7E+02,n,7.0E+03,n,1.2E+02,n,
Propazine,139-40-2,3.8E+03,n,4.9E+04,n,1.0E+03,n,
Propham,122-42-9,3.8E+03,n,4.9E+04,n,1.1E+03,n,
Propiconazole,60207-90-1,1.9E+04,n,2.5E+05,nm,4.8E+03,n,
Propionaldehyde,123-38-6,2.2E+02,n,9.4E+02,n,5.0E+01,n,
Propyl benzene,103-65-1,1.1E+04,ns,7.3E+04,ns,2.0E+03,n,
Propylene,115-07-1,6.6E+03,ns,2.8E+04,ns,1.9E+04,n,
Propylene Glycol,57-55-6,3.8E+06,nm,4.9E+07,nm,1.2E+06,n,
Propylene Glycol Dinitrate,6423-43-4,1.2E+06,nm,4.9E+06,nm,        ,,
Propylene Glycol Monomethyl Ether,107-98-2,1.2E+05,nms,1.1E+06,nms,9.6E+03,n,
Propylene Oxide,75-56-9,2.1E+02,c**,9.7E+02,c**,2.7E+01,c**,
Propyzamide,23950-58-5,1.4E+04,n,1.8E+05,nm,3.5E+03,n,
Pyridine,110-86-1,2.3E+02,n,3.5E+03,n,5.9E+01,n,
Quinalphos,13593-03-8,9.5E+01,n,1.2E+03,n,1.5E+01,n,
Quinoline,91-22-5,1.8E+01,c,7.7E+01,c,2.4E+00,c,
Quizalofop-ethyl,76578-14-8,1.7E+03,n,2.2E+04,n,3.7E+02,n,
Refractory Ceramic Fibers,E715557,1.3E+08,nm,5.4E+08,nm,        ,,
Resmethrin,10453-86-8,5.7E+03,n,7.4E+04,n,2.0E+02,n,
Ronnel,299-84-3,1.2E+04,n,1.8E+05,nm,1.2E+03,n,
Rotenone,83-79-4,7.6E+02,n,9.8E+03,n,1.8E+02,n,
Safrole,94-59-7,5.5E+01,c,1.0E+03,c,9.6E+00,c,
Selenious Acid,7783-00-8,1.2E+03,n,1.8E+04,n,3.0E+02,n,
Selenium,7782-49-2,1.2E+03,n,1.8E+04,n,3.0E+02,n,5.0E+01
Selenium Sulfide,7446-34-6,1.2E+03,n,1.8E+04,n,3.0E+02,n,
Sethoxydim,74051-80-2,2.7E+04,n,3.4E+05,nm,4.8E+03,n,
"Silica (crystalline, respirable)",7631-86-9,1.3E+07,nm,5.4E+07,nm,        ,,
Silver,7440-22-4,1.2E+03,n,1.8E+04,n,2.8E+02,n,
Simazine,122-34-9,4.5E+02,c**,1.9E+03,c**,6.1E+01,c**,4.0E+00
Sodium Acifluorfen,62476-59-9,2.5E+03,n,3.2E+04,n,7.8E+02,n,
Sodium Azide,26628-22-8,9.4E+02,n,1.4E+04,n,2.4E+02,n,
Sodium Diethyldithiocarbamate,148-18-5,2.0E+02,c*,8.5E+02,c*,2.9E+01,c*,
Sodium Fluoride,7681-49-4,1.2E+04,n,1.8E+05,nm,3.0E+03,n,4.0E+03
Sodium Fluoroacetate,62-74-8,3.8E+00,n,4.9E+01,n,1.2E+00,n,
Sodium Metavanadate,13718-26-8,2.3E+02,n,3.5E+03,n,6.0E+01,n,
Sodium Tungstate,13472-45-2,1.9E+02,n,2.8E+03,n,4.8E+01,n,
Sodium Tungstate Dihydrate,10213-10-2,1.9E+02,n,2.8E+03,n,4.8E+01,n,
Stirofos (Tetrachlorovinphos),961-11-5,2.3E+03,c**,9.6E+03,c**,2.8E+02,c**,
"Strontium, Stable",7440-24-6,1.4E+05,nm,2.1E+06,nm,3.6E+04,n,
Strychnine,57-24-9,5.7E+01,n,7.4E+02,n,1.8E+01,n,
Styrene,100-42-5,1.8E+04,ns,1.0E+05,nms,3.6E+03,n,1.0E+02
Styrene-Acrylonitrile (SAN) Trimer,,5.7E+02,n,7.4E+03,n,1.4E+02,n,
Sulfolane,126-33-0,1.9E+02,n,2.5E+03,n,6.0E+01,n,
"Sulfonylbis(4-chlorobenzene), 1,1'-",80-07-9,1.5E+02,n,2.0E+03,n,3.3E+01,n,
Sulfur Trioxide,7446-11-9,4.3E+06,nm,1.8E+07,nm,6.3E+00,n,
Sulfuric Acid,7664-93-9,4.3E+06,nm,1.8E+07,nm,        ,,
"Sulfurous acid, 2-chloroethyl 2-[4-(1,1-dimethylethyl)phenoxy]-1-methylethyl ester",140-57-8,2.2E+03,c**,9.2E+03,c*,1.3E+02,c*,
TCMTB,21564-17-0,5.7E+03,n,7.4E+04,n,1.4E+03,n,
Tebuthiuron,34014-18-1,1.3E+04,n,1.7E+05,nm,4.1E+03,n,
Temephos,3383-96-8,3.8E+03,n,4.9E+04,n,1.2E+03,n,
Terbacil,5902-51-2,2.5E+03,n,3.2E+04,n,7.5E+02,n,
Terbufos,13071-79-9,5.9E+00,n,8.8E+01,ns,7.1E-01,n,
Terbutryn,886-50-0,1.9E+02,n,2.5E+03,n,4.0E+01,n,
"Tetrabromodiphenyl ether, 2,2',4,4'- (BDE-47)",5436-43-1,1.9E+01,n,2.5E+02,n,6.0E+00,n,
"Tetrachlorobenzene, 1,2,4,5-",95-94-3,7.0E+01,n,1.1E+03,n,5.1E+00,n,
"Tetrachloroethane, 1,1,1,2-",630-20-6,2.0E+02,c*,8.8E+02,cs,5.7E+01,c*,
"Tetrachloroethane, 1,1,2,2-",79-34-5,6.0E+01,c*,2.7E+02,c,7.6E+00,c,
Tetrachloroethylene,127-18-4,2.4E+02,ns,1.2E+03,ns,1.2E+02,n,5.0E+00
"Tetrachlorophenol, 2,3,4,6-",58-90-2,5.7E+03,n,7.4E+04,n,7.1E+02,n,
"Tetrachlorotoluene, p- alpha, alpha, alpha-",5216-25-1,3.5E+00,c,1.6E+01,c,1.3E-01,c,
Tetraethyl Dithiopyrophosphate,3689-24-5,9.5E+01,n,1.2E+03,n,2.1E+01,n,
"Tetrafluoroethane, 1,1,1,2-",811-97-2,3.1E+05,nms,1.3E+06,nms,5.0E+05,n,
Tetryl (Trinitrophenylmethylnitramine),479-45-8,4.7E+02,n,7.0E+03,n,1.2E+02,n,
Thallic Oxide,1314-32-5,4.7E+00,n,7.0E+01,n,1.2E+00,n,
Thallium (I) Nitrate,10102-45-1,2.3E+00,n,3.5E+01,n,6.0E-01,n,
Thallium (Soluble Salts),7440-28-0,2.3E+00,n,3.5E+01,n,6.0E-01,n,2.0E+00
Thallium Acetate,563-68-8,2.3E+00,n,3.5E+01,n,6.0E-01,n,
Thallium Carbonate,6533-73-9,4.7E+00,n,7.0E+01,n,1.2E+00,n,
Thallium Chloride,7791-12-0,2.3E+00,n,3.5E+01,n,6.0E-01,n,
Thallium Selenite,12039-52-0,2.3E+00,n,3.5E+01,n,6.0E-01,n,
Thallium Sulfate,7446-18-6,4.7E+00,n,7.0E+01,n,1.2E+00,n,
Thifensulfuron-methyl,79277-27-3,8.2E+03,n,1.1E+05,nm,2.6E+03,n,
Thiobencarb,28249-77-6,1.9E+03,n,2.5E+04,n,4.8E+02,n,
Thiodiglycol,111-48-8,1.6E+04,n,2.4E+05,nm,4.2E+03,n,
Thiofanox,39196-18-4,5.7E+01,n,7.4E+02,n,1.6E+01,n,
"Thiophanate, Methyl",23564-05-8,4.7E+03,c**,2.0E+04,c**,6.7E+02,c**,
Thiram,137-26-8,2.8E+03,n,3.7E+04,n,8.8E+02,n,
Tin,7440-31-5,1.4E+05,nm,2.1E+06,nm,3.6E+04,n,
Titanium Tetrachloride,7550-45-0,4.3E+05,nm,1.8E+06,nm,6.3E-01,n,
Toluene,108-88-3,1.5E+04,ns,1.4E+05,nms,3.3E+03,n,1.0E+03
"Toluene-2,4-diisocyanate",584-84-9,1.9E+01,n,8.0E+01,n,5.0E-02,n,
"Toluene-2,5-diamine",95-70-5,3.8E+01,n,4.9E+02,n,1.2E+01,n,
"Toluene-2,6-diisocyanate",91-08-7,1.6E+01,n,6.6E+01,n,5.0E-02,n,
"Toluic Acid, p-",99-94-5,9.5E+02,n,1.2E+04,n,2.7E+02,n,
"Toluidine, o- (Methylaniline, 2-)",95-53-4,3.4E+03,c,1.4E+04,c,4.7E+02,c,
"Toluidine, p-",106-49-0,7.6E+02,n,7.7E+03,c**,2.3E+02,n,
Total Petroleum Hydrocarbons (Aliphatic High),E1790670,7.0E+05,nms,1.1E+07,nms,1.8E+05,n,
Total Petroleum Hydrocarbons (Aliphatic Low),E1790666,1.6E+03,ns,6.5E+03,ns,3.8E+03,n,
Total Petroleum Hydrocarbons (Aliphatic Medium),E1790668,2.9E+02,ns,1.3E+03,ns,3.1E+02,n,
Total Petroleum Hydrocarbons (Aromatic High),E1790676,7.6E+03,n,9.8E+04,n,2.4E+03,n,
Total Petroleum Hydrocarbons (Aromatic Low),E1790672,2.5E+02,n,1.3E+03,n,1.0E+02,n,
Total Petroleum Hydrocarbons (Aromatic Medium),E1790674,3.2E+02,n,1.8E+03,n,1.6E+01,n,
Toxaphene,8001-35-2,4.9E+01,c,2.1E+02,c,7.1E+00,c,3.0E+00
Tralomethrin,66841-25-6,1.4E+03,n,1.8E+04,n,4.5E+02,n,
Triacetin,102-76-1,1.5E+07,nm,2.0E+08,nm,4.8E+06,n,
Triadimefon,43121-43-3,6.4E+03,n,8.4E+04,n,1.9E+03,n,
Triallate,2303-17-5,9.7E+02,c**,4.6E+03,c*,4.7E+01,c*,
Triasulfuron,82097-50-5,1.9E+03,n,2.5E+04,n,6.0E+02,n,
Tribenuron-methyl,101200-48-0,1.5E+03,n,2.0E+04,n,4.7E+02,n,
"Tribromobenzene, 1,2,4-",615-54-3,1.2E+03,n,1.8E+04,n,1.3E+02,n,
"Tribromophenol, 2,4,6-",118-79-6,1.7E+03,n,2.2E+04,n,3.6E+02,n,
Tributyl Phosphate,126-73-8,1.9E+03,n,2.5E+04,n,3.7E+02,n,
Tributyltin Compounds,E1790678,5.7E+01,n,7.4E+02,n,1.8E+01,n,
Tributyltin Oxide,56-35-9,5.7E+01,n,7.4E+02,n,1.7E+01,n,
"Trichloro-1,2,2-trifluoroethane, 1,1,2-",76-13-1,2.0E+04,ns,8.4E+04,ns,3.1E+04,n,
Trichloroacetic Acid,76-03-9,7.8E+02,c**,3.3E+03,c*,1.1E+02,c*,6.0E+01
"Trichloroaniline HCl, 2,4,6-",33663-50-2,1.9E+03,c,7.9E+03,c,2.7E+02,c,
"Trichloroaniline, 2,4,6-",634-93-5,5.7E+00,n,7.4E+01,n,1.2E+00,n,
"Trichlorobenzene, 1,2,3-",87-61-6,1.9E+02,n,2.8E+03,n,2.1E+01,n,
"Trichlorobenzene, 1,2,4-",120-82-1,1.7E+02,n,7.7E+02,ns,1.2E+01,n,7.0E+01
"Trichloroethane, 1,1,1-",71-55-6,2.4E+04,ns,1.1E+05,nms,2.4E+04,n,2.0E+02
"Trichloroethane, 1,1,2-",79-00-5,4.5E+00,n,1.9E+01,n,1.2E+00,n,5.0E+00
Trichloroethylene,79-01-6,1.2E+01,n,5.6E+01,n,8.5E+00,n,5.0E+00
Trichlorofluoromethane,75-69-4,7.0E+04,ns,1.1E+06,nms,1.5E+04,n,
"Trichlorophenol, 2,4,5-",95-95-4,1.9E+04,n,2.5E+05,nm,3.5E+03,n,
"Trichlorophenol, 2,4,6-",88-06-2,1.9E+02,n,2.5E+03,n,3.6E+01,n,
"Trichlorophenoxyacetic Acid, 2,4,5-",93-76-5,1.9E+03,n,2.5E+04,n,4.9E+02,n,
"Trichlorophenoxypropionic acid, -2,4,5",93-72-1,1.5E+03,n,2.0E+04,n,3.3E+02,n,5.0E+01
"Trichloropropane, 1,1,2-",598-77-6,1.2E+03,n,1.8E+04,ns,2.7E+02,n,
"Trichloropropane, 1,2,3-",96-18-4,5.1E-01,c*,1.1E+01,c**,7.5E-02,c*,
"Trichloropropene, 1,2,3-",96-19-5,2.2E+00,n,9.2E+00,n,1.9E+00,n,
Tricresyl Phosphate (TCP),1330-78-5,3.8E+03,n,4.9E+04,n,4.7E+02,n,
Tridiphane,58138-08-2,5.7E+02,n,7.4E+03,n,5.4E+01,n,
Triethylamine,121-44-8,3.5E+02,n,1.5E+03,n,4.4E+01,n,
Triethylene Glycol,112-27-6,3.8E+05,nm,4.9E+06,nm,1.2E+05,n,
"Trifluoroethane, 1,1,1-",420-46-2,4.5E+04,ns,1.9E+05,nms,1.3E+05,n,
Trifluralin,1582-09-8,1.8E+03,n,2.6E+04,n,1.2E+02,n,
Trimethyl Phosphate,512-56-1,1.9E+03,n,1.1E+04,c**,3.9E+02,c**,
"Trimethylbenzene, 1,2,3-",526-73-8,1.0E+03,ns,6.1E+03,ns,1.6E+02,n,
"Trimethylbenzene, 1,2,4-",95-63-6,9.1E+02,ns,5.3E+03,ns,1.7E+02,n,
"Trimethylbenzene, 1,3,5-",108-67-8,8.1E+02,ns,4.5E+03,ns,1.8E+02,n,
"Trimethylpentene, 2,4,4-",25167-70-8,2.3E+03,ns,3.5E+04,ns,1.9E+02,n,
Tri-n-butyltin,688-73-3,7.0E+01,n,1.1E+03,n,1.1E+01,n,
"Trinitrobenzene, 1,3,5-",99-35-4,6.7E+03,n,9.7E+04,n,1.8E+03,n,
"Trinitrotoluene, 2,4,6-",118-96-7,1.1E+02,n,1.5E+03,n,2.9E+01,n,
Triphenylphosphine Oxide,791-28-6,3.8E+03,n,4.9E+04,n,1.1E+03,n,
"Tris(1,3-Dichloro-2-propyl) Phosphate",13674-87-8,3.8E+03,n,4.9E+04,n,1.1E+03,n,
Tris(1-chloro-2-propyl)phosphate,13674-84-5,1.9E+03,n,2.5E+04,n,5.7E+02,n,
"Tris(2,3-dibromopropyl)phosphate",126-72-7,2.8E+01,c,1.3E+02,c,6.8E-01,c,
Tris(2-chloroethyl)phosphate,115-96-8,1.3E+03,n,1.1E+04,c**,3.8E+02,c**,
Tris(2-ethylhexyl)phosphate,78-42-2,1.7E+04,c**,7.2E+04,c**,2.4E+03,c**,
Tungsten,7440-33-7,1.9E+02,n,2.8E+03,n,4.8E+01,n,
Uranium (Soluble Salts),E715565,4.7E+01,n,7.0E+02,n,1.2E+01,n,3.0E+01
Urethane,51-79-6,1.2E+01,c,2.3E+02,c,2.5E+00,c,
Vanadium and Compounds,7440-62-2,1.2E+03,n,1.7E+04,n,2.6E+02,n,
Vanadium Pentoxide,1314-62-1,2.0E+03,n,2.5E+04,n,4.6E+02,n,
Vernolate,1929-77-7,2.3E+02,n,3.5E+03,n,3.3E+01,n,
Vinclozolin,50471-44-8,2.3E+02,n,3.0E+03,n,6.4E+01,n,
Vinyl Acetate,108-05-4,2.7E+03,n,1.2E+04,ns,1.2E+03,n,
Vinyl Bromide,593-60-2,1.2E+01,c**,5.2E+01,c**,1.8E+01,c**,
Vinyl Chloride,75-01-4,5.9E+00,c*,1.7E+02,c**,1.9E+00,c*,2.0E+00
Warfarin,81-81-2,5.7E+01,n,7.4E+02,n,1.7E+01,n,
"Xylene, m-",108-38-3,1.7E+03,ns,7.1E+03,ns,5.8E+02,n,
"Xylene, o-",95-47-6,1.9E+03,ns,8.4E+03,ns,5.8E+02,n,
"Xylene, P-",106-42-3,1.7E+03,ns,7.3E+03,ns,5.8E+02,n,
Xylenes,1330-20-7,1.7E+03,ns,7.5E+03,ns,5.8E+02,n,1.0E+04
Zinc and Compounds,7440-66-6,7.0E+04,n,1.1E+06,nm,1.8E+04,n,
Zinc Phosphide,1314-84-7,7.0E+01,n,1.1E+03,n,1.8E+01,n,
Zineb,12122-67-7,9.5E+03,n,1.2E+05,nm,3.0E+03,n,
Zirconium,7440-67-7,1.9E+01,n,2.8E+02,n,4.8E+00,n,
